epoch,loss,acc
1,3.413280070774139,0.1462131076388889
2,2.8945620608708214,0.2266787574404762
3,2.1745764159020924,0.3856724330357143
4,1.816718822433835,0.478058345734127
5,1.6511026431643774,0.5177873883928571
6,1.5491619034418984,0.5372178819444444
7,1.4702056949100797,0.5487041170634921
8,1.4151197019077482,0.55712890625
9,1.3695750302738614,0.5654141865079365
10,1.3366985321044922,0.5726609002976191
11,1.3008681270811293,0.584410652281746
12,1.2639866537517972,0.5935639880952381
13,1.2316154449705095,0.6031668526785714
14,1.200211763381958,0.6124674479166666
15,1.1710327778543745,0.6198226686507936
16,1.1448850953389729,0.6258680555555556
17,1.1213208701875474,0.6337425595238095
18,1.0955347546509333,0.6416945684523809
19,1.0722463367477295,0.649840339781746
20,1.0493508662496294,0.6570948040674603
21,1.0279914566448756,0.664093501984127
22,1.010368438467147,0.6697513640873016
23,0.9903144959419493,0.6737738715277778
24,0.9698150077509502,0.6811135912698413
25,0.9517900300404382,0.6870272197420635
26,0.9355232237823425,0.6916155133928571
27,0.9174773943802667,0.6982189360119048
28,0.9023328390386369,0.701598152281746
29,0.8868778234436399,0.7077675471230159
30,0.8698810414662437,0.7127666170634921
31,0.8527631608266679,0.7178664434523809
32,0.8389297425746918,0.7224934895833334
33,0.8178859811926645,0.7289806547619048
34,0.8029611091765146,0.7338402157738095
35,0.788445847848105,0.7391338045634921
36,0.776471699987139,0.7423270089285714
37,0.762149831605336,0.7470315600198413
38,0.746724389848255,0.7525654141865079
39,0.7349094332210602,0.7552548363095238
40,0.7208692615940457,0.7605949280753969
41,0.7080876619096786,0.7651599702380952
42,0.6934076481395297,0.7701745411706349
43,0.6804700366088322,0.7731042286706349
44,0.6676075671400342,0.7775220114087301
45,0.6549242101018391,0.7808547247023809
46,0.6443959484024654,0.7853577628968254
47,0.6316623664091504,0.7887757316468254
48,0.6227860067571912,0.7929920014880952
49,0.6125906294300443,0.7954334077380952
50,0.599310158737122,0.7998511904761905
51,0.587175924153555,0.8038581969246031
52,0.5777269024697561,0.8067723834325397
53,0.5663925603268638,0.8105546254960317
54,0.5578991557870593,0.8118257068452381
55,0.5500115806621219,0.8146546378968254
56,0.5423332471696157,0.8168712797619048
57,0.5315569520942749,0.8214518229166666
58,0.523032967533384,0.8239784846230159
59,0.51575839306627,0.8255130828373016
60,0.5055440763632456,0.8307989211309523
61,0.5220394340299425,0.8266214037698413
62,0.5394771822861263,0.8234902033730159
63,0.522138278399195,0.8277374751984127
64,0.5056520709915767,0.8320079985119048
65,0.4946564667754703,0.8357592385912699
66,0.48235857604988036,0.8401382688492064
67,0.47741494836315274,0.8401692708333334
68,0.4698847456583901,0.8435562375992064
69,0.46007854692519656,0.8463464161706349
70,0.44885976068557254,0.8488188244047619
71,0.4428751175365751,0.8518105158730159
72,0.4382245658882081,0.8523840525793651
73,0.4294777422670334,0.8558872767857143
74,0.4243903737219553,0.8579334077380952
75,0.41722799955852446,0.8602430555555556
76,0.40786574378846185,0.8623899429563492
77,0.4005246801035745,0.8639477926587301
78,0.40094115620567683,0.8644670758928571
79,0.3951054551298656,0.8659784226190477
80,0.3859471808823328,0.8692413814484127
81,0.3826799981650852,0.8704737103174603
82,0.379122741638668,0.8714890252976191
83,0.3751786606652396,0.8719385540674603
84,0.36453074122232104,0.8765190972222222
85,0.36226121631879654,0.8771391369047619
86,0.35631649882074384,0.8793092757936508
87,0.3509999851858805,0.8814639136904762
88,0.34840177803758593,0.8820917038690477
89,0.3425571249117927,0.8844013516865079
90,0.3410730264962666,0.8841920882936508
91,0.33946443006159766,0.8843858506944444
92,0.33211591177516514,0.8871605282738095
93,0.33019292543804835,0.8888656374007936
94,0.3254987386957047,0.8891679067460317
95,0.3199096094994318,0.8906017485119048
96,0.31971077975772677,0.892151847718254
97,0.3162909022399357,0.8925316220238095
98,0.31483214123854564,0.8935004340277778
99,0.3074608951333969,0.8965308779761905
100,0.30270810212407795,0.8959728422619048
